,Store,Dept,Date,IsHoliday
65,1,1,2011-05-06,False
66,1,1,2011-05-13,False
67,1,1,2011-05-20,False
68,1,1,2011-05-27,False
69,1,1,2011-06-03,False
70,1,1,2011-06-10,False
71,1,1,2011-06-17,False
72,1,1,2011-06-24,False
208,1,2,2011-05-06,False
209,1,2,2011-05-13,False
210,1,2,2011-05-20,False
211,1,2,2011-05-27,False
212,1,2,2011-06-03,False
213,1,2,2011-06-10,False
214,1,2,2011-06-17,False
215,1,2,2011-06-24,False
351,1,3,2011-05-06,False
352,1,3,2011-05-13,False
353,1,3,2011-05-20,False
354,1,3,2011-05-27,False
355,1,3,2011-06-03,False
356,1,3,2011-06-10,False
357,1,3,2011-06-17,False
358,1,3,2011-06-24,False
494,1,4,2011-05-06,False
495,1,4,2011-05-13,False
496,1,4,2011-05-20,False
497,1,4,2011-05-27,False
498,1,4,2011-06-03,False
499,1,4,2011-06-10,False
500,1,4,2011-06-17,False
501,1,4,2011-06-24,False
637,1,5,2011-05-06,False
638,1,5,2011-05-13,False
639,1,5,2011-05-20,False
640,1,5,2011-05-27,False
641,1,5,2011-06-03,False
642,1,5,2011-06-10,False
643,1,5,2011-06-17,False
644,1,5,2011-06-24,False
780,1,6,2011-05-06,False
781,1,6,2011-05-13,False
782,1,6,2011-05-20,False
783,1,6,2011-05-27,False
784,1,6,2011-06-03,False
785,1,6,2011-06-10,False
786,1,6,2011-06-17,False
787,1,6,2011-06-24,False
923,1,7,2011-05-06,False
924,1,7,2011-05-13,False
925,1,7,2011-05-20,False
926,1,7,2011-05-27,False
927,1,7,2011-06-03,False
928,1,7,2011-06-10,False
929,1,7,2011-06-17,False
930,1,7,2011-06-24,False
1066,1,8,2011-05-06,False
1067,1,8,2011-05-13,False
1068,1,8,2011-05-20,False
1069,1,8,2011-05-27,False
1070,1,8,2011-06-03,False
1071,1,8,2011-06-10,False
1072,1,8,2011-06-17,False
1073,1,8,2011-06-24,False
1209,1,9,2011-05-06,False
1210,1,9,2011-05-13,False
1211,1,9,2011-05-20,False
1212,1,9,2011-05-27,False
1213,1,9,2011-06-03,False
1214,1,9,2011-06-10,False
1215,1,9,2011-06-17,False
1216,1,9,2011-06-24,False
1352,1,10,2011-05-06,False
